id,user_kod,name,class,icon_index,cap_tr,Modul
1,MARKET,mn_pomvardiya,TdxBarLargeButton,0,P.Vardiya Hesabı,
2,MARKET,mn_marvardi,TdxBarLargeButton,2,M. Vardiya Hesabı,
3,MARKET,mn_marsatiade,TdxBarLargeButton,3,M.Satış / İade İşlemi,
4,MARKET,mn_carikart,TdxBarLargeButton,7,Cari Hesap Kartları,
5,MARKET,mn_hizliislm,TdxBarLargeButton,10,Hızlı İşlem,
6,MARKET,mn_kasaislm,TdxBarLargeButton,13,Kasa İşlemleri,
7,MARKET,mn_bankakart,TdxBarLargeButton,6,Banka Hesap Kartları,
8,MARKET,mn_marstkkart,TdxBarLargeButton,4,Market Stok Kartları,
9,MARKET,mn_fatliste,TdxBarLargeButton,8,Fatura Listesi,
10,MARKET,mn_rapkarzarar,TdxBarLargeButton,12,Kar - Zarar Raporu,
11,YÖNETİM,mn_pomvardiya,TdxBarLargeButton,0,P.Vardiya Hesabı,
12,YÖNETİM,mn_marvardi,TdxBarLargeButton,2,M. Vardiya Hesabı,
13,YÖNETİM,mn_marsatiade,TdxBarLargeButton,3,M.Satış / İade İşlemi,
14,YÖNETİM,mn_carikart,TdxBarLargeButton,7,Cari Hesap Kartları,
15,YÖNETİM,mn_hizliislm,TdxBarLargeButton,10,Hızlı İşlem,
16,YÖNETİM,mn_kasaislm,TdxBarLargeButton,13,Kasa İşlemleri,
17,YÖNETİM,mn_bankakart,TdxBarLargeButton,6,Banka Hesap Kartları,
18,YÖNETİM,mn_marstkkart,TdxBarLargeButton,4,Market Stok Kartları,
19,YÖNETİM,mn_fatliste,TdxBarLargeButton,8,Fatura Listesi,
20,YÖNETİM,mn_rapkarzarar,TdxBarLargeButton,12,Kar - Zarar Raporu,
