id,firmano,tip,kod,ack,deger,kdv_oran,deguser,degtarsaat,parabrm,olususer,olustarsaat
1,1,als_kdv,alis_kdv_1,İNDİRİLECEK KDV %1,191.01,1.0,SİSTEM,2020-08-08 22:11:36.117000,,,
2,1,als_kdv,alis_kdv_8,İNDİRİLECEK KDV %8,191.02,8.0,SİSTEM,2020-08-08 22:11:36.117000,,,
3,1,als_kdv,alis_kdv_18,İNDİRİLECEK KDV %18,191.03,18.0,SİSTEM,2020-08-08 22:11:36.117000,,,
4,1,als_kdv,alis_kdv_26,İNDİRİLECEK KDV %26,191.04,26.0,SİSTEM,2020-08-08 22:11:36.117000,,,
5,1,sat_kdv,satis_kdv_1,HESAPLANAN KDV %1,391.01,1.0,SİSTEM,2020-08-08 22:11:36.117000,,,
6,1,sat_kdv,satis_kdv_8,HESAPLANAN KDV %8,391.02,8.0,SİSTEM,2020-08-08 22:11:36.117000,,,
7,1,sat_kdv,satis_kdv_18,HESAPLANAN KDV %18,391.03,18.0,SİSTEM,2020-08-08 22:11:36.117000,,,
8,1,sat_kdv,satis_kdv_26,HESAPLANAN KDV %26,391.04,26.0,SİSTEM,2020-08-08 22:11:36.120000,,,
9,1,alsia_kdv,alis_iade_kdv_1,ALIŞ İADE KDV %1,391.05,1.0,SİSTEM,2020-08-08 22:11:36.120000,,,
10,1,alsia_kdv,alis_iade_kdv_8,ALIŞ İADE KDV %8,391.06,8.0,SİSTEM,2020-08-08 22:11:36.120000,,,
11,1,alsia_kdv,alis_iade_kdv_18,ALIŞ İADE KDV %18,391.06,18.0,SİSTEM,2020-08-08 22:11:36.120000,,,
12,1,alsia_kdv,alis_iade_kdv_26,ALIŞ İADE KDV %26,391.07,26.0,SİSTEM,2020-08-08 22:11:36.120000,,,
13,1,satia_kdv,satis_iade_kdv_1,SATIŞ İADE KDV %1,191.05,1.0,SİSTEM,2020-08-08 22:11:36.120000,,,
14,1,satia_kdv,satis_iade_kdv_8,SATIŞ İADE KDV %8,191.06,8.0,SİSTEM,2020-08-08 22:11:36.120000,,,
15,1,satia_kdv,satis_iade_kdv_18,SATIŞ İADE KDV %18,191.07,18.0,SİSTEM,2020-08-08 22:11:36.120000,,,
16,1,satia_kdv,satis_iade_kdv_26,SATIŞ İADE KDV %26,191.08,26.0,SİSTEM,2020-08-08 22:11:36.120000,,,
17,1,yuv_gelir,yuv_gelir,YUVARLAMA GELİR HESABI,679.01,0.0,SİSTEM,2020-08-08 22:11:36.120000,,,
18,1,yuv_gider,yuv_gider,YUVARLAMA GİDER HESABI,689.01,0.0,SİSTEM,2020-08-08 22:11:36.120000,,,
19,1,als_kdv,als_kdv_10,İNDİRİLECEK KDV %10,,10.0,SİSTEM,2009-04-13 20:31:28,,,
20,1,als_kdv,als_kdv_20,İNDİRİLECEK KDV %20,,20.0,SİSTEM,2009-04-13 20:31:28,,,
21,1,sat_kdv,sat_kdv_10,HESAPLANAN KDV %10,,10.0,SİSTEM,,,,
22,1,sat_kdv,sat_kdv_20,HESAPLANAN KDV %20,,20.0,SİSTEM,,,,
