id,kod,ad,olususer,olustarsaat,deguser,degtarsaat
1,01,ADANA,SISTEM,2020-08-08 22:10:25.870000,,
2,02,ADIYAMAN,SISTEM,2020-08-08 22:10:25.870000,,
3,03,AFYON,SISTEM,2020-08-08 22:10:25.870000,,
4,04,AĞRI,SISTEM,2020-08-08 22:10:25.870000,,
5,05,AMASYA,SISTEM,2020-08-08 22:10:25.870000,,
6,06,ANKARA,SISTEM,2020-08-08 22:10:25.870000,,
7,07,ANTALYA,SISTEM,2020-08-08 22:10:25.870000,,
8,08,ARTVİN,SISTEM,2020-08-08 22:10:25.870000,,
9,09,AYDIN,SISTEM,2020-08-08 22:10:25.870000,,
10,10,BALIKESİR,SISTEM,2020-08-08 22:10:25.870000,,
11,11,BİLECİK,SISTEM,2020-08-08 22:10:25.870000,,
12,12,BİNGÖL,SISTEM,2020-08-08 22:10:25.870000,,
13,13,BİTLİS,SISTEM,2020-08-08 22:10:25.870000,,
14,14,BOLU,SISTEM,2020-08-08 22:10:25.870000,,
15,15,BURDUR,SISTEM,2020-08-08 22:10:25.870000,,
16,16,BURSA,SISTEM,2020-08-08 22:10:25.870000,,
17,17,ÇANAKKALE,SISTEM,2020-08-08 22:10:25.870000,,
18,18,ÇANKIRI,SISTEM,2020-08-08 22:10:25.870000,,
19,19,ÇORUM,SISTEM,2020-08-08 22:10:25.870000,,
20,20,DENİZLİ,SISTEM,2020-08-08 22:10:25.870000,,
21,21,DİYARBAKIR,SISTEM,2020-08-08 22:10:25.870000,,
22,22,EDİRNE,SISTEM,2020-08-08 22:10:25.870000,,
23,23,ELAZIĞ,SISTEM,2020-08-08 22:10:25.870000,,
24,24,ERZİNCAN,SISTEM,2020-08-08 22:10:25.870000,,
25,25,ERZURUM,SISTEM,2020-08-08 22:10:25.870000,,
26,26,ESKİŞEHİR,SISTEM,2020-08-08 22:10:25.870000,,
27,27,GAZİANTEP,SISTEM,2020-08-08 22:10:25.870000,,
28,28,GİRESUN,SISTEM,2020-08-08 22:10:25.870000,,
29,29,GÜMÜŞHANE,SISTEM,2020-08-08 22:10:25.870000,,
30,30,HAKKARİ,SISTEM,2020-08-08 22:10:25.870000,,
31,31,HATAY,SISTEM,2020-08-08 22:10:25.870000,,
32,32,ISPARTA,SISTEM,2020-08-08 22:10:25.870000,,
33,33,İÇEL,SISTEM,2020-08-08 22:10:25.870000,,
34,34,İSTANBUL,SISTEM,2020-08-08 22:10:25.870000,,
35,35,İZMİR,SISTEM,2020-08-08 22:10:25.870000,,
36,36,KARS,SISTEM,2020-08-08 22:10:25.870000,,
37,37,KASTAMONU,SISTEM,2020-08-08 22:10:25.870000,,
38,38,KAYSERİ,SISTEM,2020-08-08 22:10:25.870000,,
39,39,KIRKLARELİ,SISTEM,2020-08-08 22:10:25.870000,,
40,40,KIRŞEHİR,SISTEM,2020-08-08 22:10:25.870000,,
41,41,KOCAELİ,SISTEM,2020-08-08 22:10:25.870000,,
42,42,KONYA,SISTEM,2020-08-08 22:10:25.870000,,
43,43,KÜTAHYA,SISTEM,2020-08-08 22:10:25.870000,,
44,44,MALATYA,SISTEM,2020-08-08 22:10:25.870000,,
45,45,MANİSA,SISTEM,2020-08-08 22:10:25.870000,,
46,46,KAHRAMANMARAŞ,SISTEM,2020-08-08 22:10:25.870000,,
47,47,MARDİN,SISTEM,2020-08-08 22:10:25.870000,,
48,48,MUĞLA,SISTEM,2020-08-08 22:10:25.870000,,
49,49,MUŞ,SISTEM,2020-08-08 22:10:25.870000,,
50,50,NEVŞEHİR,SISTEM,2020-08-08 22:10:25.870000,,
51,51,NİĞDE,SISTEM,2020-08-08 22:10:25.870000,,
52,52,ORDU,SISTEM,2020-08-08 22:10:25.870000,,
53,53,RİZE,SISTEM,2020-08-08 22:10:25.870000,,
54,54,SAKARYA,SISTEM,2020-08-08 22:10:25.870000,,
55,55,SAMSUN,SISTEM,2020-08-08 22:10:25.870000,,
56,56,SİİRT,SISTEM,2020-08-08 22:10:25.870000,,
57,57,SİNOP,SISTEM,2020-08-08 22:10:25.870000,,
58,58,SİVAS,SISTEM,2020-08-08 22:10:25.870000,,
59,59,TEKİRDAĞ,SISTEM,2020-08-08 22:10:25.870000,,
60,60,TOKAT,SISTEM,2020-08-08 22:10:25.870000,,
61,61,TRABZON,SISTEM,2020-08-08 22:10:25.870000,,
62,62,TUNCELİ,SISTEM,2020-08-08 22:10:25.870000,,
63,63,ŞANLIURFA,SISTEM,2020-08-08 22:10:25.870000,,
64,64,UŞAK,SISTEM,2020-08-08 22:10:25.870000,,
65,65,VAN,SISTEM,2020-08-08 22:10:25.870000,,
66,66,YOZGAT,SISTEM,2020-08-08 22:10:25.870000,,
67,67,ZONGULDAK,SISTEM,2020-08-08 22:10:25.870000,,
68,68,AKSARAY,SISTEM,2020-08-08 22:10:25.870000,,
69,69,BAYBURT,SISTEM,2020-08-08 22:10:25.870000,,
