id,kod,ad,tip,hrk,gc,deguser,degtarsaat,olususer,olustarsaat
1,,KART AÇILIŞ,ISL,KAC,G,,,,
2,,DEVİR İŞLEMİ,ISL,DVR,G,,,,
3,,NAKİT TAHSİLAT,TAH,NAK,G,,,,
4,,NAKİT TESLİMAT,TAH,TES,G,,,,
5,,KREDİ KARTI TAHSİL,TAH,POS,G,,,,
6,,NAKİT ÖDEME,ODE,NAK,C,,,,
7,,PARA ÜSTÜ,ODE,PRU,C,,,,
8,,KREDİ KART İLE ÖDEME,ODE,IKK,C,,,,
9,,KESİLEN ÇEK,CEK,KSN,C,,,,
10,,ALINAN ÇEK,CEK,ALN,G,,,,
11,,CİROLALAN ÇEK,CEK,CIR,C,,,,
12,,TAKASTAN ALINAN ÇEK,CEK,TGR,G,,,,
13,,CİRODAN ALINAN ÇEK,CEK,CGR,G,,,,
14,,TAKAS ÇEKİ TAHSİL,CEK,TKT,G,,,,
15,,ELDEN ÇEK TAHSİL,CEK,ELT,G,,,,
16,,ÇEK ÖDEME,CEK,ODE,C,,,,
17,,PORTFÖYDEN ÇEK İADE,CEK,PID,C,,,,
18,,CİRODAN KAŞILIKSIZ ÇEK,CEK,CKR,C,,,,
19,,PORTFÖYDEN KAŞILIKSIZ ÇEK,CEK,PKR,C,,,,
20,,TAKASTAN KAŞILIKSIZ ÇEK,CEK,TKR,C,,,,
21,,VERİLEN SENET,SEN,VER,C,,,,
22,,ALINAN SENET,SEN,ALN,G,,,,
23,,ALINAN E.M.Ç,EMC,ALN,G,,,,
24,,BANKAYA YATAN,BNK,YTN,C,,,,
25,,BANKADAN ÇEKİLEN,BNK,CKN,G,,,,
26,,GİDEN HAVALE / EFT,BNK,B-C,G,,,,
27,,GELEN HAVALE / EFT,BNK,C-B,C,,,,
28,,POS ÖDEME,BNK,SLO,G,,,,
29,,BANKA KOMİSYON,BNK,BKK,C,,,,
30,,BANKA EK KOMİSYON,BNK,EKK,C,,,,
31,,BANKA I.K.K ÖDEME,BNK,IKO,G,,,,
32,,ÇEK MASRAFI,GLG,MRF,C,,,,
33,,BANKA MASRAFI,GLG,BMF,C,,,,
34,,BANKA KOMİSYON,GLG,BKK,C,,,,
35,,EK KOMİSYON,GLG,EKK,C,,,,
36,,MARKET GİDERİ,GLG,MAR,C,,,,
37,,İNDİRİM,GLG,IND,C,,,,
38,,GİDER,GLG,GID,C,,,,
39,,FİRE KAYDI,GLG,FIR,C,,,,
40,,MAHSUP GİRİŞ,MAH,GIR,G,,,,
41,,MAHSUP ÇIKIŞ,MAH,CIK,C,,,,
42,,DÖVİZ (A-S) GİRİŞ,DVA,DAG,G,,,,
43,,DÖVİZ (A-S) ÇIKIŞ,DVA,DAC,C,,,,
44,,DÖVİZ (A-S) GİRİŞ,DVS,DAG,G,,,,
45,,DÖVİZ (A-S) ÇIKIŞ,DVS,DAC,C,,,,
46,,VİRMAN GİRİŞ,VIR,VRG,G,,,,
47,,VİRMAN ÇIKIŞ,VIR,VRC,C,,,,
48,,HARİCİ BORÇ,HAR,BOR,C,,,,
49,,HARİCİ ALACAK,HAR,ALC,G,,,,
50,,CARİ FİŞ AKTARIM,FIS,CAK,C,,,,
51,,FATURA GİDER GİRİŞİ,FAT,GID,C,,,,
52,,FATURA STOK GİRİŞİ,FAT,SHR,C,,,,
53,,VARDİYA AÇIK,VAR,ACK,C,,,,
54,,VARDİYA FAZLA,VAR,FAZ,G,,,,
55,,VARDİYA TAHSİLAT ÖDEME,VAR,VTO,-,,,,
56,,SAYIM AÇIĞI,SAY,ACK,C,,,,
57,,SAYIM FAZLASI,SAY,FAZ,G,,,,
58,,MAAŞ AKTARIM,MAS,AKT,G,,,,
59,,CARİ VADE FARKI,VAD,CVF,G,,,,
60,,FİŞ VADE FARKI,VAD,FVF,G,,,,
61,,FİŞ YENİ FİYAT FARKI,GLG,FYF,G,,,,
62,,AKARYAKIT ALIŞ FATURASI,FAT,FATAKALS,G,,,,
63,,MARKET ALIŞ FATURASI,FAT,FATMRALS,G,,,,
64,,YAĞ ALIŞ FATURASI,FAT,FATYGALS,G,,,,
65,,GELİR-GİDER ALIŞ FATURASI,FAT,FATGGALS,G,,,,
66,,VERESİYE SATIŞ FATURASI,FAT,FATVERSAT,C,,,,
67,,TOPTAN SATIŞ FATURASI,FAT,FATTOPSAT,C,,,,
68,,PERAKENDE SATIŞ FATURASI,FAT,FATPERSAT,C,,,,
69,,GELİR-GİDER SATIŞ FATURASI,FAT,FATGGSAT,C,,,,
70,,SATIŞTAN İADE FATURASI,FAT,FATIADSAT,C,,,,
71,,ALIŞTAN İADE FATURASI,FAT,FATIADALS,C,,,,
72,,AKARYAKIT ALIŞ İRSALİYESİ,IRS,AKA,G,,,,
73,,MARKET ALIŞ İRSALİYESİ,IRS,MRA,G,,,,
74,,YAĞ ALIŞ İRSALİYESİ,IRS,YGA,G,,,,
75,,AKARYAKIT SATIŞ İRSALİYESİ,IRS,AKS,C,,,,
76,,MARKET SATIŞ İRSALİYESİ,IRS,MRS,C,,,,
77,,YAĞ SATIŞ İRSALİYESİ,IRS,YGS,C,,,,
78,,FATURA İSKONTO,GLG,FTI,C,,,,
79,,CARİ FİŞ BORÇ KAYDI,FIS,CBK,C,,,,
80,,FİŞ İSKONTO,GLG,FSI,G,,,,
81,,FİŞ SATIR GİRİŞİ,FIS,FST,-,,,,
82,,ALACAK FİŞ GİRİŞİ,FIS,AFG,C,,,,
83,,VERESİYE FİŞ GİRİŞİ,FIS,VFG,C,,,,
84,,TESLİMAT FİŞİ,FIS,TFG,C,,,,
85,,PROMOSYON İŞLEM,PRM,PIS,C,,,,
86,,VARDİYA BOZUK PARA ÇIKIŞ,VAR,BPC,C,,,,
87,,FATURA İSKONTO KDV,GLG,FIK,C,,,,
88,,VADELİ KREDİ ÇIKIŞ,KRD,VKC,C,,,,
89,,VADELİ KREDİ GİRİŞ,KRD,VKG,G,,,,
90,,BANKA FAİZ,GLG,BFZ,C,,,,
91,,BAŞKA CARİ YE AKTARIM,FAT,BCA,-,,,,
92,,İRSALİYE STOK GİRİŞİ,IRS,SHR,C,,,,
93,,CARİ OTO. FİŞ VADE FARKI,VAD,OFV,G,,,,
94,,TTS FİŞ GİRİŞİ,FIS,TTS,C,,,,
95,,FATURA ISKONTO AVANS,FAT,FIA,C,,,,
96,,AVANS ÖDEME,AVS,ODE,G,,,,
97,,AVANS TAHSİLAT,AVS,TAH,C,,,,
98,,SMART FİŞ GİRİŞİ,FIS,TTS,C,,,,
99,,SATIŞ KOMİSYON,SAT,KMS,,,,,
