id,Ad,Goster,deguser,degtarsaat,olususer,olustarsaat,Filitre,Filitre_DegerIn,Rap_Tip
1,Stok Miktarı,True,,,,,,,
2,Sayaclara Göre,True,,,,,,,
3,Nakit Teslimat,True,,,,,,,
4,Cari Tahislat - Ödemeleri,True,,,,,,,
5,Cari Veresiye,True,,,,,,,
6,Pos Dökümü,True,,,,,,,
7,Pos Grup Toplam,True,,,,,,,
8,Personel,True,,,,,,,
9,Emtia Satış,True,,,,,,,
10,Akaryakıt Satış,True,,,,,,,
11,Tanklara Gore  Stok,True,,,,,,,
12,Vardiya Genel Toplam,True,,,,,,,
13,Tahsilatlar,True,,,,,,,
14,Ödemeler,True,,,,,,,
15,Cari Veresiye Grup Toplam,True,,,,,,,
16,Veresiye Hrk. Dökümü,True,,,,,,,
17,Kasa Teslimat Hrk. Dökümü,True,,,,,,,
18,Banka Yatan Çekilen Dökümü,False,,,,,,,
22,Açık Fazla Dağılımı,,,,,,,,
23,Veresiye Market Satış Dökümü,False,,,,,,,
24,Grup Seçimli Cari Bakiye Listesi,False,,,,,True,,carikart
25,Kasa Son Durum,False,,,,,False,,
27,Yakit Fiyat Dağlımı,True,,,,,,,
26,Yakıt Satış Indirim Dağılımı,True,,,,,,,
19,Çek Senet Hrk. Dökümü,False,,,,,,,
20,Nakit Banknot,False,,,,,,,
21,Stok Grup Miktarları,,,,,,,,
