Id,Kod,Ad,Yuzde,Sil
0,000,000 - 0/10 - --Yok--,0,False
1,601,601 - 4/10 - Yapım işleri ile bu işlerle birlikte ifa edilen mühendislik,40,False
2,602,"602 - 9/10 - Etüt, plan-proje, danışmanlık, denetim vb",90,False
3,603,"603 - 7/10 - Makine, teçhizat, demirbaş ve taşitlara ait tadil, bakım, onarım",70,False
4,604,604 - 5/10 - Yemek servis hizmeti,50,False
5,605,605 - 5/10 - Organizasyon hizmeti,50,False
6,606,606 - 9/10 - İşgücü temin hizmetleri,90,False
7,607,607 - 9/10 - Özel güvenlik hizmeti,90,False
8,608,608 - 9/10 - Yapı denetim hizmetleri,90,False
9,609,"609 - 7/10 - Fason olarak yaptirilan tekstil ve konfeksiyon işleri, çanta ve ayakkabı dikim işleri v",70,False
10,610,610 - 9/10 - Turistik mağazalara verilen müşteri bulma/ götürme hizmetleri,90,False
11,611,"611 - 9/10 - Spor kulüplerinin yayın, reklam ve isim hakkı gelirlerine konu işlemleri",90,False
12,612,612 - 9/10 - Temizlik hizmeti,90,False
13,613,613 - 9/10 - Çevre ve bahçe bakım hizmetleri,90,False
14,614,614 - 5/10 - Servis taşımacıliğı,50,False
15,615,615 - 7/10 - Her türlü baskı ve basim hizmetleri,70,False
16,616,"616 - 5/10 - 5018 sayili kanuna ekli cetvellerdeki idare,kurum ve kuruşlara yapılan diğer hizmetler",50,False
17,617,617 - 7/10 - Hurda metalden elde edilen külçe teslimleri,70,False
18,618,"618 - 7/10 - Hurda metalden elde edilenler dışındaki bakir, çinko ve alüminyum külçe teslimleri",70,False
19,619,"619 - 7/10 - Bakir, çinko ve alüminyum ürünlerinin teslimi",70,False
20,620,620 - 7/10 - istisnadan vazgeçenlerin hurda ve atık teslimi,70,False
21,621,"621 - 9/10 - Metal, plastik, lastik, kauçuk, kâğit ve cam hurda ve atıklardan elde edilen hammadde teslimi",90,False
22,622,"622 - 9/10 - Pamuk, tiftik, yün ve yapaği ile ham post ve deri teslimleri",90,False
23,623,623 - 5/10 - Ağaç ve orman ürünleri teslimi,50,False
24,624,624 - 2/10 - Yük Taşımacılığı Hizmeti,20,False
25,625,625 - 3/10 - Ticari Reklam Hizmetleri,30,False
26,626,626 - 2/10 - Diğer Teslimler,20,False
50,650,650 - 2/10 - Diğer,20,False
51,650,650 - 3/10 - Diğer,30,False
52,650,650 - 5/10 - Diğer,50,False
53,650,650 - 7/10 - Diğer,70,False
54,650,650 - 9/10 - Diğer,90,False
