id,kod,ad,gc,deguser,degtarsaat,olususer,olustarsaat
1,KARTAC,KART AÇILIŞ,GC,,,,
2,DEVIR,DEVİR İŞLEMİ,GC,,,,
3,FATAKALS,AKARYAKIT ALIŞ FATURASI,G,,,,
4,FATMRALS,MARKET ALIŞ FATURASI,G,,,,
5,FATGGALS,GELİR GİDER ALIŞ FATURASI,G,,,,
6,FATYGALS,YAĞ ALIŞ FATURASI,G,,,,
7,FATVERSAT,VERESIYE SATIŞ FATURASI,C,,,,
8,FATGGSAT,GELİR GİDER SATIŞ FATURASI,C,,,,
9,FATTOPSAT,TOPTAN SATIŞ FATURASI,C,,,,
10,FATPERSAT,PERAKENDE SATIŞ FATURASI,C,,,,
11,FATIADALS,ALIŞTAN IADE FATURASI,C,,,,
12,FATIADSAT,SATIŞTAN IADE FATURASI,G,,,,
13,IRSAKALS,AKARYAKIT ALIŞ İRSALİYESİ,G,,,,
14,IRSMRALS,MARKET ALIŞ İRSALİYESİ,G,,,,
15,IRSYGALS,YAĞ ALIŞ İRSALİYESİ,G,,,,
16,IRSAKSAT,AKARYAKIT SATIŞ İRSALİYESİ,C,,,,
17,IRSMRSAT,MARKET SATIŞ İRSALİYESİ,C,,,,
18,IRSYGSAT,YAĞ SATIŞ İRSALİYESİ,C,,,,
19,FISVERSAT,VERESİYE SATIŞ,C,,,,
20,POMSAYSAT,SAYAÇ SATIŞ,C,,,,
21,POMMARSAT,YAĞ-EMTİA SATIŞ,C,,,,
22,POMTRANS,SAYAÇ TRANSFER,C,,,,
23,MARSAT,MARKET SATIŞ,C,,,,
24,MARIAD,MARKET İADE,G,,,,
25,SAYSON,SAYIM SONUC,GC,,,,
26,DEPTRAN,DEPO TRANSFER,GC,,,,
27,YAGDOK,SAYAÇA YAĞ DÖK,GC,,,,
28,STKFIRE,FİRE KAYDI,GC,,,,
29,HARGIRCIK,HARİCİ GİRİŞ ÇIKIŞ,GC,,,,
30,FISPRSTES,PROMOSYON ÜRÜN TESLİMAT,GC,,,,
31,FATSTKTRS,FATURA STOK TRANSFER,GC,,,,
32,RESSAT,RESTAURANT SATIŞ,C,,,,
33,RESIADE,RESTAURAT IADE,G,,,,
34,FATTTSSAT,TTS SATIŞ FATURA,C,,,,
